anime_id,title,anime_url,anime_img,episodes,votes,rate,genres,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller
973,DRAGON COLLECTION,https://www.crunchyroll.com/dragon-collection,https://img1.ak.crunchyroll.com/i/spire3/715cacb6ef95464af34eb52be8ea28f31396811596_full.jpg,12,10,4.0,action|adventure|fantasy,1,1,1,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,ANISAVA,https://www.crunchyroll.com/anisava,https://img1.ak.crunchyroll.com/i/spire2/a134a3fc3acdcc487ae6c2770fd715861410310763_full.jpg,12,10,4.0,comedy|slice of life,1,0,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
975,Minami Kamakura High School Girls Cycling Club,https://www.crunchyroll.com/minami-kamakura-high-school-girls-cycling-club,https://img1.ak.crunchyroll.com/i/spire4/642b043fc0e0fecd7f301ce0725bc0971483178985_full.jpg,13,10,4.0,slice of life|sports,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
976,Ebiten,https://www.crunchyroll.com/ebiten,https://img1.ak.crunchyroll.com/i/spire3/daad9a54c269658d9641b833b675b40c1350075089_full.jpg,12,10,3.6,comedy|slice of life,2,0,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
977,Zombie Loan,https://www.crunchyroll.com/zombie-loan,https://img1.ak.crunchyroll.com/i/spire1/0850beb0468aa5fd1eb3d857a0c757641450749335_full.jpg,12,10,3.5,action|romance|supernatural|thriller,0,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
978,A Taste of Honey,https://www.crunchyroll.com/a-taste-of-honey,https://img1.ak.crunchyroll.com/i/spire1/e5c9c94582aa5e7da1f8b2eb280831601417459216_full.jpg,12,10,3.3,,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,Inuyasha,https://www.crunchyroll.com/inuyasha,https://img1.ak.crunchyroll.com/i/spire2/0a111c02b8ec030ff6ae9943782484601576043538_full.jpg,12,9,5.0,action|adventure|fantasy|romance,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
980,Samurai Pizza Cats,https://www.crunchyroll.com/samurai-pizza-cats,https://img1.ak.crunchyroll.com/i/spire4/11a76bac0946064a5aaf97942381bf2a1450988950_full.jpg,12,9,4.89,action|comedy|historical|sci-fi|shonen,0,0,0,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
981,Wild Mom,https://www.crunchyroll.com/wild-mom,https://img1.ak.crunchyroll.com/i/spire3/b3c19dbbcd5422bbcbe1d24c9a4bb6df1433194570_full.jpg,12,9,4.89,,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,Galileo,https://www.crunchyroll.com/galileo,https://img1.ak.crunchyroll.com/i/spire2/35cd48cd72c817a7b6d386adebde42ed1406838029_full.jpg,12,9,4.78,,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
